,address,lat,lon
79,700 THIRD STREET LOYALTON CA,39.6800915,-120.2440384
80,1706 S 68TH ST MILWAUKEE WI,43.0108486,-87.9968382
81,10 4TH AVENUE SE GLENWOOD MN,45.64639090000001,-95.3894705
82,101 HOSPITAL DRIVE MAGNOLIA AR,33.2742233,-93.239115
83,"1910 CHEROKEE AVENUE, SW CULLMAN AL",34.1509873,-86.84611149999999
84,14000 BOYS TOWN HOSPITAL ROAD BOYS TOWN NE,41.249734,-96.133392
85,7800 SHERIDAN ST PEMBROKE PINES FL,26.0296956,-80.24554909999999
86,1008 NORTH MAIN STREET SIKESTON MO,36.8896243,-89.5832845
87,200 HOSPITAL DRIVE ANAHUAC TX,29.7525022,-94.68746879999999
88,1481 WEST TENTH STREET INDIANAPOLIS IN,39.7775841,-86.1867152
89,1518 MULBERRY AVENUE MUSCATINE IA,41.4332299,-91.0544985
90,300 1ST CAPITOL DRIVE ST. CHARLES MO,38.7799192,-90.4832866
91,7590 AUBURN ROAD CONCORD OH,41.6633563,-81.24732279999999
92,1 HOSPITAL ROAD CHEROKEE NC,35.4848308,-83.3231567
93,2001 DOCTORS DRIVE SPRINGHILL LA,33.010286,-93.44389
94,6020 WEST PARKER ROAD PLANO TX,33.0450361,-96.83108039999999
95,601 MAIN ST DUNEDIN FL,28.0140597,-82.78375609999999
96,110 METKER TRAIL STANFORD KY,37.5425779,-84.6532254
97,4700 SOUTH I-10 SERVICE ROAD WEST METAIRIE LA,29.99718549999999,-90.18721359999999
98,1200 N STATE ST LOS ANGELES CA,34.0580024,-118.2088248
99,1650 COWLES ST FAIRBANKS AK,64.82991439999999,-147.7390375
