,address,coordinates
74,"1530 N Limestone St, Gaffney, SC 29340, USA","35.0898793,-81.63437267"
75,"497 W Lott St, Buffalo, WY 82834, USA","44.35080469,-106.7064916"
76,"874 Ed Hall Dr Ste B-108, Kaufman, TX 75142, USA","32.59216961,-96.31852025"
77,"TORRE MÉDICA HIMA SAN PABLO, 410 Av. Valero SUITE # 305, Fajardo, 00738, Puerto Rico","18.33671711,-65.65449058"
78,"1 Havenwood Ln, Travelers Rest, SC 29690, USA","34.9640711,-82.45473247"
79,"707 N Waldrip St, Grand Saline, TX 75140, USA","32.67939133,-95.72255745"
80,"801 Braxton Place, Madison, WI 53715, USA","43.06593344,-89.39938339"
81,"1351 W President George Bush Hwy, Richardson, TX 75080, USA","32.99919628,-96.75579418"
82,"704 Hospital Dr, Carrizo Springs, TX 78834, USA","28.51923471,-99.86339756"
83,"5848 S Fashion Blvd STE 120, Murray, UT 84107, USA","40.64438385,-111.8835808"
84,"Unnamed Road, Vancouver, WA 98686, USA","45.72098352,-122.6482415"
85,"1313 Hermann Dr, Houston, TX 77004, USA","29.72255567,-95.3875319"
86,"3601 W Loyola Dr, Kenner, LA 70065, USA","30.02757156,-90.27186519"
87,"555 S 70th St, Lincoln, NE 68510, USA","40.80837947,-96.62717865"
88,"2221 Murphy Ave STE 2, Nashville, TN 37203, USA","36.1534634,-86.80708102"
89,"1004 Arch St, Pittsburgh, PA 15212, USA","40.45394404,-80.00872011"
90,"705 Riley Hospital Dr #1300, Indianapolis, IN 46202, USA","39.77710774,-86.18027646"
91,"1200 College Dr, Rock Springs, WY 82901, USA","41.58495115,-109.2355009"
92,"1050 E S Temple St, Salt Lake City, UT 84102, USA","40.76789122,-111.8614233"
93,"2250 Leestown Rd, Lexington, KY 40511, USA","38.073859,-84.538381"
94,"1901 Clinch Ave 4th Floor, Knoxville, TN 37916, USA","35.95703172,-83.9372099"
95,"4211 Joe Ramsey Blvd E STE 100, Greenville, TX 75401, USA","33.12231408,-96.12397074"
96,"601 Grove Ave, Wild Rose, WI 54984, USA","44.18356053,-89.2460595"
97,"700 Broadway, Fort Wayne, IN 46802, USA","41.07800073,-85.1492772"
98,"1109 N 100 W St, Beaver, UT 84713, USA","38.28914945,-112.6438588"
99,"6171 W Charleston Blvd, Las Vegas, NV 89146, USA","36.15661907,-115.2289606"
